"ROLLNUMBER","MPACCIVIC","MPACSTREETNAME","SHAPE_Length","SHAPE_Area"
"030075012010000","652","OLD GARDEN RIV RD",413.98634361737606,8928.79119988872
"0",,,257.4171182577579,1162.1761999989965
"030047038010000","41","REID ST",244.75453469326794,3521.6200999957023
"030050011000000","7","GRANITE ST",148.86396352210767,1178.842349994577
"030075012020000","646","OLD GARDEN RIV RD",385.6338381680449,7715.918950114414
"030075012030000","636","OLD GARDEN RIV RD",330.0015268734063,4109.925249956282
"010040021000000","184","BIRCHWOOD ST",103.63444100764106,557.4415999964174
"010040020000000","180","BIRCHWOOD ST",103.63444100703084,557.4416000020799
"010040022000000","188","BIRCHWOOD ST",104.02013283932237,564.5562500006054
"010040023000000","192","BIRCHWOOD ST",103.6235807446883,557.3665999852881
"010040024000000","196","BIRCHWOOD ST",104.23415238763747,568.5310000114944
"010040025000000","200","BIRCHWOOD ST",104.23415238883469,568.5310000270381
"010040026000000","204","BIRCHWOOD ST",104.23415238763747,568.5310000114944
"010040027000000","208","BIRCHWOOD ST",104.23609422327634,569.469699979338
"010040028000000","212","BIRCHWOOD ST",103.6235807446883,557.3665999852881
"010040029000000","216","BIRCHWOOD ST",103.60944875908719,557.9549500251944
"010040030000000","220","BIRCHWOOD ST",103.62358074724837,557.3666000153978
"010040031000000","224","BIRCHWOOD ST",103.63099128052734,557.6359499959156
"010040032000000","228","BIRCHWOOD ST",104.25112097299952,568.6425999882515
"010040033000000","232","BIRCHWOOD ST",104.25112192138933,568.6893000051442
"010040034000000","236","BIRCHWOOD ST",104.25112304594518,568.695100032182
"010040035000000","240","BIRCHWOOD ST",106.67318126276851,613.0717000236075
"010040036000000","95","AMBER ST",111.97035284835351,716.7870000149048
"010040051000000","126","TASKAR DR",100.062343898839,600.4069999837708
"010040052000000","122","TASKAR DR",103.75714819942773,558.4056000165134
"010040053000000","118","TASKAR DR",103.75715258730553,558.4166999802545
"010040054000000","114","TASKAR DR",103.75715141543229,558.4108999814264
"010040055000000","110","TASKAR DR",103.75394273116017,558.2524999994132
"060013077030000","696","COOPER ST",116.30768419555343,785.6306500194077
"060013076000000","692","COOPER ST",112.22536053802574,713.2735499713988
"050010007000000","152","ESTELLE ST",115.81410493338191,784.7416999997191
"030092096340000","89","BACKCOUNTRY CRT",357.28984538608836,6519.557650019206
"050010009000000","164","ESTELLE ST",109.17949546439293,664.442800017337
"030092096350000","101","BACKCOUNTRY CRT",311.440856590953,5140.474199977768
"030030077000000","209","EAGLE DR",99.34139798082123,445.6982999932494
"050010008000000","156","ESTELLE ST",111.54491297089689,707.3333999730073
"050010006000000","148","ESTELLE ST",111.54491297461362,707.3334000403419
"050010005000000","140","ESTELLE ST",111.54491297290522,707.3334000072892
"010049043000000","73","ADRIAN DR",112.04824313782545,677.1650000257697
"010049042000000","77","ADRIAN DR",118.9802027998294,810.8317499928903
"010049041000000","81","ADRIAN DR",121.0056921425127,854.8489000126965
"030018075000000","45","PEACH DR",119.57005645052898,826.4061500041116
"030030074000000","36","DABLON ST",109.48720054044031,675.4256000209839
"030030075000000","42","DABLON ST",109.89858954895776,691.1716500113814
"030018076000000","41","PEACH DR",116.49539497119235,767.7701000318189
"050010004000000","136","ESTELLE ST",111.54491297290522,707.3334000072892
"050010003000000","132","ESTELLE ST",111.54491297263098,707.3334000285607
"050010002000000","126","ESTELLE ST",111.54491296891425,707.3333999431024
"050010001000000","120","ESTELLE ST",110.02028715083041,679.6841999736514
"050008088000000","163","ESTELLE ST",109.17949546238458,664.4427999831296
"050008089000000","159","ESTELLE ST",111.54491297461362,707.3334000403419
"050008090000000","151","ESTELLE ST",111.54491297089689,707.3333999742366
"050008091000000","147","ESTELLE ST",115.81410493338139,784.741699999719
"050008092000000","141","ESTELLE ST",111.54491297461362,707.3334000403419
"010001013000000","1249","WELLINGTON ST E",99.550019020497,485.72704997856243
"010049044000000","69","ADRIAN DR",114.73620148879496,730.5703999788598
"010049040000000","85","ADRIAN DR",119.0023659558795,818.8462499677948
"040031027000000","618","PORTAGE LANE",57.00356383780246,168.6493999871932
"060070114030000","109","PARKEWOOD DR",289.8280035512391,4483.9745000618805
"040031009000000","641","QUEEN ST W",123.80509033577265,448.4775500294089
"060070114040000","105","PARKEWOOD DR",313.9340349915576,5762.601400038886
"060070114050000","101","PARKEWOOD DR",303.8518325826835,5255.928649942896
"040031010000000","637","QUEEN ST W",123.80508991819039,448.6875500178978
"060070114070000","93","PARKEWOOD DR",320.01053805722097,6000.473099928419
"040031011000000","633","QUEEN ST W",83.56650203590078,279.964349993575
"010001011000000","1255","WELLINGTON ST E",99.56921183718231,486.0857500066347
"040031012000000","629","QUEEN ST W",83.56650203381243,279.96434998170065
"010001012000000","1253","WELLINGTON ST E",99.54046708279544,485.5566000184618
"040031026000000","616","PORTAGE LANE",57.00095104628192,168.62260000534133
"040031025000000","614","PORTAGE LANE",56.99234660274338,168.59445000596642
"060070114080000","89","PARKEWOOD DR",310.0169526929405,5500.787099977629
"060070114090000","85","PARKEWOOD DR",299.9912973337036,4999.49760003506
"040031013000000","627","QUEEN ST W",83.5665020354114,279.96435001151224
"060070114060000","97","PARKEWOOD DR",310.7610987903946,5743.235550032329
"040031014000000","625","QUEEN ST W",91.20095455806953,407.35949998636914
"040031015000000","613","QUEEN ST W",91.19237266574692,407.2216499965176
"040031023000000","610","PORTAGE LANE",77.71168629526518,338.4844999930281
"060070114100000","81","PARKEWOOD DR",356.79133162836695,7304.453649973127
"060070114110000","77","PARKEWOOD DR",377.6833753228204,8566.019049981807
"060070114120000","73","PARKEWOOD DR",344.65630927030264,6704.522200035618
"060070114130000","69","PARKEWOOD DR",300.0230937262229,5000.591499844402
"040031016000000","609","QUEEN ST W",83.56916354456035,279.9752999814533
"040031017000000","605","QUEEN ST W",82.04464541479153,254.53104998726843
"060070114140000","65","PARKEWOOD DR",357.3767164666382,7333.193450046142
"040031018000000","603","QUEEN ST W",84.48571013567502,295.2993000169907
"040031019000000","79","JAMES ST",82.90309776925861,265.7647500339206
"060070114170000","53","PARKEWOOD DR",310.681567999003,5497.917349990135
"040031020000000","75","JAMES ST",44.49627135186829,111.45139998601414
"010001010000000","1257","WELLINGTON ST E",99.5196481597387,485.1779999908414
"060070114190000","49","PARKEWOOD DR",300.0096665987702,5000.464699963943
"040031021000000","75","JAMES ST",53.030084832388575,143.95629999321773
"040031022000000","73","JAMES ST",82.28917773894119,255.37499999992548
"040031028000000","634","PORTAGE LANE",76.80966822265363,367.95505001652873
"040031029000000","642","PORTAGE LANE",89.3989016469378,304.31929997040595
"040031030000000","646","PORTAGE LANE",70.58077153782821,228.31080000384785
"040031031000000","648","PORTAGE LANE",70.21965259689881,224.03265001967216
"040031032000000","654","PORTAGE LANE",74.31087282968588,264.1454499851812
"010001009000000","1261","WELLINGTON ST E",99.5492551427887,485.61039998385166
"010001008000000","1263","WELLINGTON ST E",99.55885290242722,485.7897500132453
"010001007000000","1267","WELLINGTON ST E",101.55165722003758,522.2133000130773
"060031002000000","0","ALLENS SIDE RD",1980.3188335272853,173824.8152998676
"010049081000000","108","ADRIAN DR",96.3833362436078,383.5579499971486
"010070032240000","8","RUSCIO CRES",106.20856500365926,603.9620999690235
"010049021000000","305","CHAMBERS AVE",108.79948821874673,608.9401499943681
"010049022000000","311","CHAMBERS AVE",110.8520662977905,645.2112000264518
"010049038000000","93","ADRIAN DR",94.52151839534565,352.90220000328236
"010049080000000","106","ADRIAN DR",96.38628664283382,383.4955000007227
"010049037000000","95","ADRIAN DR",94.50771445665669,352.75814998181016
"010049034000000","101","ADRIAN DR",94.36340774118628,348.0218500133563
"010049035000000","99","ADRIAN DR",96.04157818339272,381.7537500006985
"010070032220000","16","RUSCIO CRES",106.20856500419816,603.9620999632865
"060005114000000","109","GLASGOW AVE",142.63846823518261,1138.1169000423647
"010049024000000","321","CHAMBERS AVE",110.62818512940107,638.6452000150786
"010049039000000","89","ADRIAN DR",107.5069290864243,602.9210500064164
"010049112000000","34","ADRIAN DR",103.66717977705058,557.9205999945808
"010049079000000","104","ADRIAN DR",94.86328652475294,354.5770000093821
"010049111000000","30","ADRIAN DR",103.63969354785209,557.3250499931339
"010049110000000","26","ADRIAN DR",103.64266704839447,557.4325499925844
"010049109000000","22","ADRIAN DR",103.6397405262291,557.4720000263974
"010049076000000","98","ADRIAN DR",95.45981172895975,365.8634000328914
"010049077000000","100","ADRIAN DR",95.47361329675192,366.2125999831293
"010070032230000","12","RUSCIO CRES",106.20856500731162,603.9621000204511
"010070032210000","20","RUSCIO CRES",106.20856500623115,603.9621000060436
"010049108000000","18","ADRIAN DR",103.63677438128605,557.4029499633882
"010049074000000","94","ADRIAN DR",93.3351908606334,325.35820001744025
"010049073000000","90","ADRIAN DR",110.40937947531481,650.9537999729429
"010049072000000","86","ADRIAN DR",110.41223469776415,651.0534000316992
"010049071000000","82","ADRIAN DR",110.39837395629743,650.8938999735064
"010049070000000","78","ADRIAN DR",110.39835594205786,650.8356500259921
"010049069000000","74","ADRIAN DR",118.93837600948535,813.5969000291958
"010049068000000","70","ADRIAN DR",110.40937780717414,650.9265999709085
"010049067000000","66","ADRIAN DR",105.7987759953201,562.3545500083648
"010049066000000","64","ADRIAN DR",97.52750137716754,405.0472499935571
"010049065000000","62","ADRIAN DR",97.28923789254844,403.8214000249248
"010049064000000","60","ADRIAN DR",97.17746674493469,403.1021999741133
"010049063000000","58","ADRIAN DR",97.2051698856641,403.2253000104081
"020043105000000","122","PILGRIM ST",102.8011467762533,562.1002499819584
"010049062000000","56","ADRIAN DR",97.42536588632728,368.2275500182889
"010049061000000","54","ADRIAN DR",94.28238225354758,426.40595000154076
"010049107000000","14","ADRIAN DR",103.63947044773684,557.3549000224772
"010049106000000","10","ADRIAN DR",103.63677022415045,557.3540999976002
"010049105000000","6","ADRIAN DR",105.15472800547799,569.2116000226529
"010070032200000","24","RUSCIO CRES",106.20856500623114,603.9621000060436
"010070032190000","28","RUSCIO CRES",103.94308405910029,588.5269499960478
"010049104000000","316","PARKLAND CRES",104.3824346923793,575.5327999750365
"060082018000000","73","NOKOMIS BEACH RD",511.91659343502516,6684.634500019841
"060082016000000","89","NOKOMIS BEACH RD",505.1959893688853,5918.700099857978
"060082019000000","65","NOKOMIS BEACH RD",550.7770081722691,8115.246649991367
"060085070500000","0","POINTE LOUISE DR",458.9999467804686,8747.64060001857
"060001045000000","374","CARPIN BEACH RD",975.8582524730114,38918.95800027349
"060085073000000","305","POINTE LOUISE DR",829.0082672321142,38730.746999836185
"060085074000000","297","POINTE LOUISE DR",226.47095624498087,1616.3205000946652
"060082017000000","81","NOKOMIS BEACH RD",505.2473741797866,6470.105900012029
"060085079000000","267","POINTE LOUISE DR",251.99354922546217,2230.508999983374
"060001046000000","414","CARPIN BEACH RD",918.6563726309989,27697.96259979207
"060001046010000","438","CARPIN BEACH RD",956.5329756125946,34968.12499985823
"020037025000000","492","WELLINGTON ST E",274.2845058747494,3497.2421499474426
"060001045010000","390","CARPIN BEACH RD",873.8547403678854,19077.490250111347
"060085075000000","291","POINTE LOUISE DR",230.95193934051147,1636.916999999324
"060085080000000","261","POINTE LOUISE DR",245.18792019608406,2162.8478000518053
"060085076000000","285","POINTE LOUISE DR",252.3699909684413,2589.9981000136077
"060085077000000","279","POINTE LOUISE DR",252.79651267425862,2250.1323000094712
"060085078000000","273","POINTE LOUISE DR",252.8943598979913,2235.508949929611
"060085081000000","255","POINTE LOUISE DR",225.35488016272433,1960.1443499731045
"060085082000000","249","POINTE LOUISE DR",200.55132572356123,1653.9824999659975
"060085083000000","243","POINTE LOUISE DR",182.57347024789206,1479.436850037077
"020011074000000","12","MANOR RD",158.59792861953736,838.1975000052805
"020030062000000","47","SALISBURY AVE",108.73534671345838,504.9846499806255
"020011075000000","294","MCGREGOR AVE",104.47697634677549,564.5332499960736
"020011079000000","310","MCGREGOR AVE",104.47300195297234,564.4982999865439
"020030069000000","25","LANSDOWNE AVE",108.15061151711645,544.2942000041522
"010060022000000","380","RIVER RD",291.3246652634429,4026.9888499993062
"050025062000000","41","HILL ST",121.9241030756934,696.7906999887742
"050025061000000","45","HILL ST",121.92517250470253,696.8210000050963
"020017016000000","167","KOHLER ST",89.0137360096846,445.36205001394336
"020017014000000","173","KOHLER ST",88.42403042227645,429.3957500242647
"010022031000000","421","BOUNDARY RD",98.70754924993732,524.9027499888223
"010022032000000","417","BOUNDARY RD",98.15467500565947,515.6377499730643
"010022073000000","147","SOUTH MARKET ST",222.85081949759132,2749.5646999652377
"010022016000000","519","BOUNDARY RD",227.19738161843242,2744.248049993158
"010022017000000","511","BOUNDARY RD",243.7744661833372,3526.174750026926
"010022017010000","501","BOUNDARY RD",274.8494713449688,4688.095049921627
"010022018000000","473","BOUNDARY RD",136.09383737157984,856.0601500244032
"010022019000000","469","BOUNDARY RD",126.95234545805404,735.5036499801207
"010022020000000","465","BOUNDARY RD",119.71294393684522,664.7911000228613
"010022021000000","461","BOUNDARY RD",114.21918382187636,631.3698499985632
"010022022000000","457","BOUNDARY RD",107.90809504271961,583.5112499992177
"010022023000000","453","BOUNDARY RD",100.86665678614904,515.4237500079721
"010022024000000","449","BOUNDARY RD",101.47590151059815,563.7948000249312
"010022025000000","445","BOUNDARY RD",97.78604316269762,508.5621000043392
"010022026000000","441","BOUNDARY RD",97.76605448696404,508.41209999266044
"010022027000000","437","BOUNDARY RD",98.75718922906243,525.2906000090256
"010022028000000","433","BOUNDARY RD",97.48917833250243,503.8748000129543
"010022029000000","429","BOUNDARY RD",97.99990354213801,512.7065999897957
"010022030000000","425","BOUNDARY RD",97.7171024885838,508.04800000079723
"010022033000000","413","BOUNDARY RD",98.22429762737059,517.0045000188536
"010022034000000","409","BOUNDARY RD",97.65646002920386,507.5927999980681
"010022035000000","405","BOUNDARY RD",97.6461225810312,507.51209998483733
"010022036000000","401","BOUNDARY RD",99.36053888083984,536.6421000081576
"010022037000000","397","BOUNDARY RD",97.88900921074568,511.9595999933682
"010022038000000","393","BOUNDARY RD",97.59582234185616,507.1375999932155
"010022039000000","389","BOUNDARY RD",95.05170645860056,504.56299999709984
"010022040000000","2","CHARTWELL DR",105.63332268530414,641.7037500270177
"010019126000000","3","CHARTWELL DR",114.53160027288237,778.1884999777712
"010019149000000","224","BENNETT BLVD",404.2720813597284,9249.100500016611
"020032061000000","75","FAUQUIER AVE",135.85424243269085,933.5134499910728
"050025060000000","49","HILL ST",121.92517250448027,696.8210000298228
"020011082000000","1079","WELLINGTON ST E",124.41192464203274,829.6254000023662
"050025063000000","37","HILL ST",138.36766642447694,1072.6641000100149
"020037015000000","4","LYNN RD",92.49362824387,350.26250000360426
"020032060000000","63","FAUQUIER AVE",204.4301893578495,1828.1333499869518
