"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
303,,"Allen's Side Road","P6C 5P8","SSM",46.53262721,-84.40323209,699132.1199999992,5156504.949999999
323,,"Allen's Side Road","P6C 5P8","SSM",46.53296234,-84.40328222,699127.0500000007,5156542.0600000005
349,,"Allen's Side Road","P6C 5P8","SSM",46.53417715,-84.40306387,699139.3499999996,5156677.59
368,"1","Allen's Side Road","P6C 6H4","SSM",46.53578482,-84.40246591,699179.3200000003,5156857.73
368,"2","Allen's Side Road","P6C 6H4","SSM",46.53574798,-84.40246441,699179.5700000003,5156853.640000001
372,,"Allen's Side Road","P6C 6H4","SSM",46.53583686,-84.40248664,699177.5399999991,5156863.460000001
376,,"Allen's Side Road","P6C 6H4","SSM",46.53588597,-84.40248899,699177.1799999997,5156868.91
380,,"Allen's Side Road","P6C 6H4","SSM",46.53593682,-84.40248918,699176.9800000004,5156874.5600000005
384,,"Allen's Side Road","P6C 6H4","SSM",46.53599127,-84.40248906,699176.7899999991,5156880.609999999
388,,"Allen's Side Road","P6C 6H4","SSM",46.53604384,-84.40248172,699177.1600000001,5156886.470000001
392,,"Allen's Side Road","P6C 6H4","SSM",46.53609333,-84.40249331,699176.0899999999,5156891.9399999995
396,"1","Allen's Side Road","P6C 6H4","SSM",46.53614553,-84.40247752,699177.1099999994,5156897.779999999
396,"2","Allen's Side Road","P6C 6H4","SSM",46.53618211,-84.40247904,699176.8599999994,5156901.84
400,,"Allen's Side Road","P6A 5K8","SSM",46.53701103,-84.40203257,699208.0600000005,5156995.07
465,,"Allen's Side Road","P6A 5K8","SSM",46.53882032,-84.4037925,699066.5,5157191.66
482,,"Allen's Side Road","P6A 5K8","SSM",46.53946711,-84.39944352,699397.5800000001,5157274.51
501,,"Allen's Side Road","P6A 5K8","SSM",46.53937968,-84.40378095,699065.3399999999,5157253.84
513,,"Allen's Side Road","P6A 5K8","SSM",46.53977483,-84.40385849,699057.9499999993,5157297.550000001
520,,"Allen's Side Road","P6A 5K8","SSM",46.53784859,-84.40199782,699207.6600000001,5157088.220000001
522,,"Allen's Side Road","P6A 5K8","SSM",46.5391642,-84.40157779,699235.0500000007,5157235.460000001
524,,"Allen's Side Road","P6A 5K8","SSM",46.54075298,-84.40013349,699339.9700000007,5157415.640000001
525,,"Allen's Side Road","P6A 5K8","SSM",46.54018711,-84.40347389,699085.9299999997,5157344.33
526,"R","Allen's Side Road","P6A 5K8","SSM",46.54097715,-84.39352882,699845.5299999993,5157457.26
535,,"Allen's Side Road","P6A 5K8","SSM",46.54054144,-84.40345412,699086.1500000004,5157383.75
537,,"Allen's Side Road","P6A 5K8","SSM",46.54254628,-84.40455989,698994.0399999991,5157603.720000001
540,,"Allen's Side Road","P6A 5K8","SSM",46.54093205,-84.40115363,699261.0999999996,5157432.960000001
540,"REAR","Allen's Side Road","P6A 5K8","SSM",46.5409121,-84.3965944,699610.7300000004,5157442.27
558,,"Allen's Side Road","P6A 5K8","SSM",46.5412828,-84.40116245,699259.1400000006,5157471.91
585,,"Allen's Side Road","P6A 5K8","SSM",46.54356565,-84.40387971,699050.5500000007,5157717.9
595,,"Allen's Side Road","P6A 5K8","SSM",46.54401588,-84.40366819,699057.0299999993,5157769.26
598,,"Allen's Side Road","P6A 5K8","SSM",46.54257405,-84.40017368,699330.2200000007,5157617.880000001
598,"2","Allen's Side Road","P6A 5K8","SSM",46.54176494,-84.40027624,699325.3200000003,5157527.720000001
601,,"Allen's Side Road","P6A 5K8","SSM",46.54590309,-84.40402883,699022.4800000004,5157978.039999999
613,,"Allen's Side Road","P6A 5K8","SSM",46.54634974,-84.4046026,698976.8599999994,5158026.220000001
618,,"Allen's Side Road","P6A 5K8","SSM",46.54554021,-84.40263008,699131.0399999991,5157941.25
625,,"Allen's Side Road","P6A 5K8","SSM",46.54678555,-84.40461625,698974.2200000007,5158074.609999999
728,,"Allen's Side Road","P6A 5K8","SSM",46.54744503,-84.40293402,699100.7699999996,5158152.130000001
730,,"Allen's Side Road","P6A 5K8","SSM",46.54800458,-84.40286362,699104.1199999992,5158214.48
734,,"Allen's Side Road","P6A 5K8","SSM",46.54823763,-84.4030239,699090.9800000004,5158239.970000001
740,,"Allen's Side Road","P6A 5K8","SSM",46.54864182,-84.40299235,699091.9199999999,5158284.960000001
741,,"Allen's Side Road","P6A 5K8","SSM",46.54756322,-84.40423491,699000.6099999994,5158161.98
750,,"Allen's Side Road","P6A 5K8","SSM",46.54958919,-84.40306141,699083.1600000001,5158390.050000001
752,,"Allen's Side Road","P6A 5K8","SSM",46.54987049,-84.40304381,699083.4800000004,5158421.35
781,,"Allen's Side Road","P6A 5K8","SSM",46.54909854,-84.40464381,698963.6500000004,5158331.539999999
785,,"Allen's Side Road","P6A 5K8","SSM",46.5494088,-84.40418914,698997.3699999992,5158367.16
789,,"Allen's Side Road","P6A 5K8","SSM",46.54986965,-84.40402888,699007.9700000007,5158418.77
790,,"Allen's Side Road","P6A 5K8","SSM",46.55192543,-84.40321303,699062.9900000002,5158649.25
793,,"Allen's Side Road","P6A 5K8","SSM",46.5503793,-84.40381841,699022.2400000002,5158475.93
818,,"Allen's Side Road","P6A 5K8","SSM",46.55229432,-84.40324004,699059.5700000003,5158690.17
871,,"Allen's Side Road","P6A 5K8","SSM",46.5517353,-84.4040471,698999.75,5158626.02
