"LABEL","STOPNUMBER","SHELTERTYPE","SERVICEDAYS","TRANSFERPOINT","BENCH","GARBAGECAN","SHELTER","LATITUDE","LONGITUDE","geometry.x","geometry.y"
,,,"Weekdays","No","No","NO","No",46.54018957,-84.33550511,704297.1600000001,5157518.390000001
,,"Old Shelter","Daily","No","Yes","YES","Yes",46.53629666,-84.40147235,699253.6300000008,5156917.109999999
"B.S.",,"New Dome Shelter","Daily","No","Yes","NO","Yes",46.5079339,-84.33216206,704674.6600000001,5153943.1
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.53966738,-84.33474029,704357.7599999998,5157462.35
,,"New Dome Shelter","Daily","No","No","NO","Yes",46.50687853,-84.30259521,706946.9299999997,5153902.9399999995
,,,"Daily","No","No","NO","No",46.53081429,-84.261932,709974.2300000004,5156669.880000001
"Zion Lutheran Church",,,"Daily","No","No","NO","No",46.50931873,-84.31229616,706193.4600000009,5154148.68
"Northern Community Centre",,,"Daily","No","No","NO","No",46.53897698,-84.38187832,700746.1500000004,5157264.6
"Civic # 1059",,,"Daily","No","No","NO","No",46.50932678,-84.31063376,706320.9600000009,5154153.92
"Civic # 1487",,,"Daily","No","No","NO","No",46.50937637,-84.29598515,707444.5299999993,5154197.83
"Beside Civic # 384",,,"Daily","No","No","NO","No",46.50941451,-84.28283393,708453.2699999996,5154236.720000001
"Across from Civic # 48",,,"Daily","No","No","NO","No",46.50986711,-84.2805175,708629.2400000002,5154293.130000001
"PUC Substation",,,"Daily","No","No","NO","No",46.51051523,-84.27076915,709374.5800000001,5154390.960000001
"Civic # 366",,,"Daily","No","No","NO","No",46.51328212,-84.27076168,709364.5199999996,5154698.41
"B.S.",,"Old Shelter","Daily","No","Yes","YES","Yes",46.52363749,-84.27594541,708927.1600000001,5155835.26
,,,"Daily","No","No","NO","No",46.5263815,-84.27532921,708963.8900000006,5156141.779999999
"Civic # 111",,,"Daily","No","No","NO","No",46.51723156,-84.33812237,704182.5600000005,5154960.73
"Across from Civic # 408",,,"Daily","No","No","NO","No",46.51280319,-84.33225058,704649.5800000001,5154483.9
"Civic # 469",,,"Daily","No","No","NO","No",46.51157373,-84.3306023,704780.6400000006,5154351.57
"Civic # 513",,,"Daily","No","No","NO","No",46.51089632,-84.3297093,704851.6899999995,5154278.619999999
"Muio's",,,"Daily","No","No","NO","No",46.50757574,-84.32828007,704973.8200000003,5153913.380000001
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.50671317,-84.32922723,704904.4000000004,5153815.08
"Civic # 136",,,"Daily","No","No","NO","No",46.50702637,-84.32082398,705547.9000000004,5153871.73
"Across from Civic # 1096",,,"Daily","No","No","NO","No",46.50932953,-84.30911396,706437.5399999991,5154158.199999999
"Civic # 1533",,,"Daily","No","No","NO","No",46.50938601,-84.29357065,707629.7200000007,5154205.25
"Civic # 1565",,,"Daily","No","No","NO","No",46.5093918,-84.29196857,707752.5999999996,5154210.109999999
"Across from Civic # 1596",,,"Daily","No","No","NO","No",46.50939987,-84.2892031,707964.7200000007,5154218.289999999
"West of Heath Rd.",,,"Daily","No","No","NO","No",46.50997043,-84.27696016,708901.7400000002,5154314.02
"Across from Fire Hall",,,"Daily","No","No","NO","No",46.51003365,-84.27287374,709214.9800000004,5154331.869999999
,,,"Daily","No","No","NO","No",46.52720525,-84.27538461,708956.4800000004,5156233.16
,,,"Daily","No","No","NO","No",46.52860326,-84.27544271,708946.6600000001,5156388.34
,,,"Daily","No","No","NO","No",46.53075073,-84.27546409,708936.7799999993,5156626.890000001
,,,"Daily","No","No","NO","No",46.53077918,-84.27330954,709101.8900000006,5156635.76
,,,"Daily","No","No","NO","No",46.53077852,-84.27074763,709298.3499999996,5156642.48
"Across from Civic # 88",,,"Daily","No","No","NO","No",46.52644216,-84.27186914,709229.0099999998,5156157.6899999995
,,,"Daily","No","No","NO","No",46.52522701,-84.27099615,709300.6300000008,5156024.99
,,,"Daily","Yes","No","NO","No",46.52388401,-84.2710143,709304.4000000004,5155875.720000001
"Road House",,,"Daily","No","No","NO","No",46.52347914,-84.26984036,709395.9900000002,5155833.85
"Civic # 329",,,"Daily","No","No","NO","No",46.52483887,-84.25929501,710199.5099999998,5156012.970000001
"Civic # 440",,,"Daily","No","No","NO","No",46.52245559,-84.25786284,710318.5500000007,5155751.98
"Civic # 410",,,"Daily","No","No","NO","No",46.52147134,-84.25886824,710245.2400000002,5155639.9399999995
"Civic # 178",,,"Daily","No","No","NO","No",46.51476862,-84.26567981,709748.6199999992,5154877.07
"Civic # 72",,,"Daily","No","No","NO","No",46.51184453,-84.2686473,709532.2400000002,5154544.289999999
"Civic # 1616",,,"Daily","No","No","NO","No",46.50955121,-84.28739929,708102.5199999996,5154239.859999999
"Civic # 1532",,,"Daily","No","No","NO","No",46.50953142,-84.29369873,707619.3399999999,5154221.07
"Civic # 1294",,,"Daily","No","No","NO","No",46.50950563,-84.3038078,706843.9299999997,5154191.66
"Civic # 1096",,,"Daily","No","No","NO","No",46.50947043,-84.3091083,706437.4399999995,5154173.869999999
"Civic # 1052",,,"Daily","No","No","NO","No",46.50946512,-84.31110454,706284.3200000003,5154168.0600000005
"Civic # 125",,,"Daily","No","No","NO","No",46.50720727,-84.32267907,705404.9000000004,5153887
"Precious Blood Cathedral",,,"Daily","No","No","NO","No",46.50718218,-84.32605594,705145.9299999997,5153875.43
"B.S.",,"New Dome Shelter","Daily","No","Yes","NO","Yes",46.50795017,-84.3281195,704984.7300000004,5153955.4
"Roberta Bondar Place",,,"Daily","No","No","NO","No",46.50907347,-84.33527893,704431.2699999996,5154061.640000001
"Station Tower - South Entrance",,,"Daily","No","No","NO","No",46.51005643,-84.33606565,704367.2300000004,5154168.82
,,,"Daily","No","No","NO","No",46.51464072,-84.34108416,703965.0800000001,5154665.199999999
"Civic # 60",,,"Daily","No","No","NO","No",46.51440997,-84.33866776,704151.3000000007,5154645.8100000005
"International Bridge Plaza",,,"Daily","No","No","NO","No",46.51851811,-84.34829045,703397.8300000001,5155077.42
"Across from Verdi Hall",,,"Daily","No","No","NO","No",46.51898361,-84.35238717,703081.8699999992,5155118.59
"B.S.",,"Old Shelter","Daily","No","No","YES","Yes",46.51987202,-84.35913032,702561.3599999994,5155199.970000001
"Across from Civic # 165",,,"Daily","No","No","NO","No",46.51969255,-84.34450354,703683.9000000004,5155217.68
"Civic # 432",,,"Daily","No","No","NO","No",46.52707349,-84.34293225,703776.8000000007,5156041.84
"Civic # 568",,,"Daily","No","No","NO","No",46.53072262,-84.34213788,703824.0600000005,5156449.35
"Civic # 4",,,"Daily","No","No","NO","No",46.53404433,-84.35055792,703165.9800000004,5156796.710000001
"Civic # 284",,,"Daily","No","No","NO","No",46.53254681,-84.36089881,702378.6099999994,5156603.74
"Civic # 328",,,"Daily","No","No","YES","No",46.53182858,-84.36309682,702212.7300000004,5156518.300000001
"Across from Civic # 391",,,"Daily","No","No","NO","No",46.53163073,-84.36565233,702017.5,5156489.77
"Civic # 442",,,"Daily","No","No","YES","No",46.53157532,-84.36773617,701857.9100000001,5156478.279999999
"Civic # 530",,,"Daily","No","No","NO","No",46.53144649,-84.37261269,701484.4399999995,5156451.5
"Across from Civic # 611",,,"Daily","No","No","NO","No",46.53130809,-84.37738323,701119.1300000008,5156423.949999999
"East side of creek",,,"Daily","No","No","YES","No",46.53154993,-84.38228399,700742.4299999997,5156438.34
,,,"Daily","No","No","NO","No",46.53149675,-84.38475736,700552.9600000009,5156426.140000001
"Beside Civic # 79",,,"Daily","No","No","NO","No",46.52942149,-84.39529227,699752.7200000007,5156168.83
"Across from Civic # 223",,,"Daily","No","No","NO","No",46.52953458,-84.40243717,699204.3900000006,5156163.33
,,,"Daily","No","No","NO","No",46.53058096,-84.40312821,699147.5700000003,5156277.85
,,,"Daily","No","No","NO","No",46.53073511,-84.4049979,699003.6300000008,5156290.26
"Beside Civic # 334",,,"Daily","No","No","NO","No",46.53146345,-84.41105771,698536.2799999993,5156355.92
,,,"Daily","No","No","NO","No",46.53287759,-84.41160496,698489.1600000001,5156511.67
,,,"Daily","No","No","NO","No",46.53468979,-84.41169108,698475.9499999993,5156712.8100000005
,,,"Daily","No","No","NO","No",46.53594785,-84.41177616,698464.8399999999,5156852.380000001
,,,"Daily","No","No","NO","No",46.53637274,-84.40340634,699105.0600000005,5156920.68
,,,"Daily","No","No","NO","No",46.53650533,-84.39825762,699499.3599999994,5156948.42
,,,"Daily","No","No","NO","No",46.5365802,-84.39489812,699756.6799999997,5156965.24
,,,"Daily","No","No","YES","No",46.53670463,-84.39030781,700108.1899999995,5156990.699999999
,,,"Daily","No","No","NO","No",46.53674569,-84.38789309,700293.1899999995,5157001.390000001
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.53677824,-84.38502609,700512.9000000004,5157012.289999999
"Civic # 293-A",,,"Daily","No","No","NO","No",46.53085456,-84.3816654,700792.4299999997,5156362.65
"Civic # 193",,,"Daily","No","No","NO","No",46.52795533,-84.38147438,700817.7699999996,5156041
"Civic # 131",,,"Daily","No","No","NO","No",46.52604539,-84.38137011,700832.8100000005,5155829.050000001
"Civic # 75",,,"Daily","No","No","NO","No",46.52434462,-84.38126999,700846.7599999998,5155640.33
"Civic # 284",,,"Daily","No","No","NO","No",46.53040091,-84.38141571,700813.25,5156312.880000001
