"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Chicora Crescent"," ","Chicora","Crescent"," ",7,91,6,88,"[[[710677.0199999996,5155089.26],[710507.0600000005,5155200.720000001],[710502.9000000004,5155204.02],[710500.3100000005,5155207.3100000005],[710498.5199999996,5155211.550000001],[710498,5155216.039999999],[710498.7699999996,5155220.4399999995],[710501.3900000006,5155225.34],[710566.0399999991,5155273.83]]]"
"Dacey Road"," ","Dacey","Road"," ",139,229,144,224,"[[[710749.0399999991,5155666.66],[710513.5399999991,5155818.27]]]"
"Autumn Drive"," ","Autumn","Drive"," ",5,73,32,64,"[[[710209.6999999993,5155038.050000001],[710154.1799999997,5155074.15],[710144.0700000003,5155081.24],[710139.1099999994,5155086.8100000005],[710137.1600000001,5155090.210000001],[710135.8499999996,5155095.1],[710135.6699999999,5155098.66],[710136.1099999994,5155102.5],[710140.0899999999,5155111.32],[710144.4900000002,5155118.970000001],[710238.6600000001,5155265.59]]]"
"Hardwood Street"," ","Hardwood","Street"," ",92,124,91,129,"[[[710604.5899999999,5155466.24],[710638.1300000008,5155516.460000001],[710655.7300000004,5155539.050000001],[710667.1300000008,5155550.449999999],[710680.4299999997,5155563.460000001],[710687.7300000004,5155572.65],[710697.2400000002,5155587.25]]]"
"Bowker Street"," ","Bowker","Street"," ",16,66,7,65,"[[[710275.8699999992,5155351.390000001],[710346.8200000003,5155460.43],[710349.6400000006,5155464.380000001],[710353.0099999998,5155467.75],[710356.3900000006,5155469.609999999],[710359.9900000002,5155470.5],[710363.7799999993,5155470.470000001],[710367.5299999993,5155469.41],[710371.3200000003,5155467.77],[710433.5399999991,5155427.470000001]]]"
"MacMurray Avenue"," ","MacMurray","Avenue"," ",40,96,39,111,"[[[710433.5399999991,5155427.470000001],[710483.6699999999,5155505.619999999],[710486.3699999992,5155510.390000001],[710487.2899999991,5155513.67],[710487.5,5155516.76],[710487.2699999996,5155519.1],[710485.8900000006,5155523.35],[710484.5800000001,5155525.57],[710482.5899999999,5155527.83],[710479.5399999991,5155530.24],[710473.7799999993,5155534.1899999995],[710343.1899999995,5155618.710000001]]]"
"Jemmette Street"," ","Jemmette","Street"," ",21,39,22,42,"[[[710350.8000000007,5155301.789999999],[710275.8699999992,5155351.390000001]]]"
"Kerr Drive"," ","Kerr","Drive"," ",111,137,108,140,"[[[710351.5199999996,5155193.66],[710343.0199999996,5155198.859999999],[710238.6600000001,5155265.59]]]"
"Hardwood Street"," ","Hardwood","Street"," ",2,26,7,15,"[[[710351.5199999996,5155193.66],[710376.0199999996,5155231.359999999],[710384.5199999996,5155245.16],[710395.2200000007,5155257.460000001],[710406.0199999996,5155267.35]]]"
"Kerr Drive"," ","Kerr","Drive"," ",0,0,142,164,"[[[710238.6600000001,5155265.59],[710159.3399999999,5155317.970000001]]]"
"Weeks Street"," ","Weeks","Street"," ",0,0,0,0,"[[[710390.8200000003,5155052.859999999],[710443.6099999994,5155133.66]]]"
"Kerr Drive"," ","Kerr","Drive"," ",73,109,72,106,"[[[710443.6099999994,5155133.66],[710360.1199999992,5155188.460000001],[710351.5199999996,5155193.66]]]"
"Weeks Street"," ","Weeks","Street"," ",0,0,0,0,"[[[710365.3100000005,5155011.66],[710378.7200000007,5155034.35],[710390.8200000003,5155052.859999999]]]"
"Ross Street"," ","Ross","Street"," ",28,60,11,59,"[[[710177.5800000001,5155522.57],[710238.1400000006,5155483.68],[710241.9100000001,5155481.960000001],[710245.5199999996,5155481.01],[710248.5399999991,5155481.199999999],[710251.7400000002,5155482.33],[710254.4100000001,5155484.59],[710257.0399999991,5155487.289999999],[710343.1899999995,5155618.710000001]]]"
"Jemmette Street"," ","Jemmette","Street"," ",41,65,44,64,"[[[710275.8699999992,5155351.390000001],[710128.6600000001,5155447.529999999]]]"
"Chambers Avenue"," ","Chambers","Avenue"," ",330,356,337,349,"[[[710079.4199999999,5155370.66],[710128.6600000001,5155447.529999999]]]"
"Kerr Drive"," ","Kerr","Drive"," ",0,0,166,178,"[[[710159.3399999999,5155317.970000001],[710079.4199999999,5155370.66]]]"
"MacMurray Avenue"," ","MacMurray","Avenue"," ",8,38,7,37,"[[[710350.8000000007,5155301.789999999],[710433.5399999991,5155427.470000001]]]"
"Bowker Street"," ","Bowker","Street"," ",68,90,67,85,"[[[710433.5399999991,5155427.470000001],[710532.7300000004,5155362.16]]]"
"Hardwood Street"," ","Hardwood","Street"," ",28,60,17,55,"[[[710406.0199999996,5155267.35],[710411.6199999992,5155272.460000001],[710528.3300000001,5155358.5600000005],[710532.7300000004,5155362.16]]]"
"Jemmette Street"," ","Jemmette","Street"," ",7,19,2,20,"[[[710406.0199999996,5155267.35],[710350.8000000007,5155301.789999999]]]"
"Queen Street East"," ","Queen","Street","East",0,0,2625,2651,"[[[710834.5099999998,5155282.8100000005],[710951.9499999993,5155534.5]]]"
"Woodlawn Avenue"," ","Woodlawn","Avenue"," ",1,47,2,48,"[[[710934.2300000004,5155121.050000001],[710931.9800000004,5155120.890000001],[710929.4100000001,5155121.130000001],[710926.7899999991,5155121.83],[710920.6600000001,5155124.73],[710872.6799999997,5155155.75],[710868.5600000005,5155158.5600000005],[710863.5099999998,5155163.640000001],[710862.6199999992,5155164.550000001],[710860.0500000007,5155170.48],[710859.5600000005,5155172.6],[710859.3000000007,5155174.359999999],[710859.3300000001,5155177.15],[710859.9800000004,5155180.65],[710860.5700000003,5155182.529999999],[710861.75,5155185.77],[710863.1400000006,5155188.789999999],[710890.8000000007,5155248.68],[710872.8699999992,5155258.98],[710834.5099999998,5155282.8100000005]]]"
"Willowdale Street"," ","Willowdale","Street"," ",127,159,126,158,"[[[710934.2300000004,5155121.050000001],[710936.4499999993,5155121.220000001],[710937.8800000008,5155121.460000001],[710939.5199999996,5155122.07],[710940.4800000004,5155122.720000001],[710942.2899999991,5155124.140000001],[710943.8499999996,5155126.140000001],[710944.9100000001,5155128.279999999],[710946.1899999995,5155130.470000001],[710947.8800000008,5155133.630000001],[711014.4399999995,5155258.050000001]]]"
"Griffon Street"," ","Griffon","Street"," ",7,39,8,32,"[[[710719.9900000002,5155173.82],[710566.0399999991,5155273.83]]]"
"Williams Street"," ","Williams","Street"," ",0,0,41,59,"[[[710719.9900000002,5155173.82],[710759.1500000004,5155259.01]]]"
"Williams Street"," ","Williams","Street"," ",0,0,7,17,"[[[710628.2100000009,5155012.18],[710648.8699999992,5155051.26],[710677.0199999996,5155089.26]]]"
