"Name","Location","Address","Municipality","Owner","Access_","Age0_3","Age4_5","Age6_12","Surface","OtherSurfaceType","Swingset","SaucerSwing","Slides","Bars","FiremanPole","MerryGoRound","Platforms","Climbers","RockWall","SeeSaw","SpringRiders","PlaygroundGames","Splashpad","OtherEquipDesc","OtherEquipDesc1","OtherEquipDesc2","BasketballCourt","BaseballField","SoccerField","TennisCourt","VolleyballCourt","FinalScore2013","FinalScore2016","geometry.x","geometry.y"
"Meadow Park","Meadow Park Crescent at Irwin Avenue","60 Meadow Park Crescent","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,80,80,708198.22998719,5154546.639989286
"Manzo Park","Goetz Street and Young Street","710 Young Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,0,0,,,,0,0,0,1,0,90,90,701117.4399963606,5156126.56002111
"Mike Zuke Park","215 Pittsburgh Avenue at Young Street","215 Pittsburgh Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand",,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,1,0,0,0,85,65,700664.8499956555,5156156.989990584
"Moffley Hill Park (Cody Point)","Wilson Street and Nino Drive","37 Cody Point Court","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,1,0,,,,0,0,0,0,0,95,90,704562.5100285771,5155916.139983801
"Monroe Park","East Balfour Street North of Spadina","402 Spadina Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,0,0,0,0,0,0,"Tire Swing",,,1,0,0,0,0,85,80,700683.4354181582,5156797.204212291
"North Street Park","North Street at Bloor Street and York Street","428 North Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,95,90,704021.5500100881,5156066.220025517
"Parkland Park","Amber Street at Parkland Crescent","60 Amber Street","Sault Ste. Marie","City","Public",0,1,1,"Sand",,1,1,1,1,1,0,1,1,0,0,0,1,0,,,,0,0,0,0,0,40,40,710262.0999708324,5154888.229975928
"Patrick Park","Patrick Street at Bloor Street and Carleton Avenue","212 Patrick Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,40,60,702992.7199935208,5156146.810007628
"Punkari Park","Manitou Drive across Greene Street","Manitou Drive","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,0,0,0,1,0,1,0,0,0,0,0,,,,0,1,1,0,0,40,75,708864.630011367,5156317.509975607
"Retta Park","Retta Street and Glenholme Drive","68 Retta Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,70,65,707680.1204863247,5154027.996518742
"Greenview Estates","Greenview Drive","Greenview Drive","Sault Ste. Marie","Private","Private",1,1,1,"Grass",,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,20,20,709074.1899909507,5154293.320023331
"Strathclair Park","Second Line East at Black Road - located at Sportsfield","639 Black Road","Sault Ste. Marie","City","Public",0,1,1,"Sand","Grass",0,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,75,75,707748.4799813144,5157792.709993105
"Rosedale Park","Chapple Street and Marwayne Avenue","68 Boehmer Boulevard","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,65,65,706056.5899923706,5155856.449972516
"Rosita Park","Rosita Street at Ellis Road","31 Rosita Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,60,55,699004.4401811333,5156410.71768951
"Ruth Street Park","Ruth Street at dead end off Moody Street","90 Ruth Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,65,65,702778.7399728873,5156993.870031843
